자치구,월,유형,건수
서초구,8,발생건수,174
강남구,8,발생건수,301
송파구,8,발생건수,212
강동구,8,발생건수,79
종로구,8,사망자수,1
중구,8,사망자수,0
용산구,8,사망자수,0
성동구,8,사망자수,0
광진구,8,사망자수,1
동대문구,8,사망자수,4
중랑구,8,사망자수,0
성북구,8,사망자수,1
강북구,8,사망자수,0
도봉구,8,사망자수,1
노원구,8,사망자수,0
은평구,8,사망자수,1
서대문구,8,사망자수,0
마포구,8,사망자수,2
양천구,8,사망자수,2
강서구,8,사망자수,3
구로구,8,사망자수,0
금천구,8,사망자수,1
영등포구,8,사망자수,0
동작구,8,사망자수,1
관악구,8,사망자수,2
서초구,8,사망자수,0
강남구,8,사망자수,2
송파구,8,사망자수,3
강동구,8,사망자수,0
종로구,8,부상자수,92
중구,8,부상자수,68
용산구,8,부상자수,107
성동구,8,부상자수,135
광진구,8,부상자수,101
동대문구,8,부상자수,122
중랑구,8,부상자수,122
성북구,8,부상자수,142
강북구,8,부상자수,99
도봉구,8,부상자수,64
노원구,8,부상자수,165
은평구,8,부상자수,106
서대문구,8,부상자수,87
마포구,8,부상자수,135
양천구,8,부상자수,160
강서구,8,부상자수,187
구로구,8,부상자수,136
금천구,8,부상자수,91
영등포구,8,부상자수,250
동작구,8,부상자수,126
관악구,8,부상자수,139
서초구,8,부상자수,247
강남구,8,부상자수,412
송파구,8,부상자수,287
강동구,8,부상자수,122
종로구,9,발생건수,54
중구,9,발생건수,64
용산구,9,발생건수,90
성동구,9,발생건수,94
광진구,9,발생건수,71
동대문구,9,발생건수,133
중랑구,9,발생건수,100
성북구,9,발생건수,97
강북구,9,발생건수,64
도봉구,9,발생건수,46
노원구,9,발생건수,123
은평구,9,발생건수,80
서대문구,9,발생건수,78
마포구,9,발생건수,100
양천구,9,발생건수,104
강서구,9,발생건수,121
구로구,9,발생건수,98
금천구,9,발생건수,75
영등포구,9,발생건수,197
동작구,9,발생건수,71
관악구,9,발생건수,119
서초구,9,발생건수,155
강남구,9,발생건수,306
송파구,9,발생건수,224
강동구,9,발생건수,73
종로구,9,사망자수,0
중구,9,사망자수,0
용산구,9,사망자수,0
성동구,9,사망자수,2
광진구,9,사망자수,1
동대문구,9,사망자수,5
중랑구,9,사망자수,1
성북구,9,사망자수,0
강북구,9,사망자수,1
도봉구,9,사망자수,0
노원구,9,사망자수,0
은평구,9,사망자수,2
서대문구,9,사망자수,0
마포구,9,사망자수,1
양천구,9,사망자수,0
강서구,9,사망자수,1
구로구,9,사망자수,1
금천구,9,사망자수,3
영등포구,9,사망자수,2
동작구,9,사망자수,0
관악구,9,사망자수,1
서초구,9,사망자수,1
강남구,9,사망자수,1
송파구,9,사망자수,0
강동구,9,사망자수,1
종로구,9,부상자수,74
중구,9,부상자수,82
용산구,9,부상자수,117
